Children,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Age,Tenure,MonthlyCharge,Gender_Female,Gender_Male,Gender_Prefer not to answer,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,InternetService_DSL,InternetService_Fiber Optic,InternetService_No service,Contract_Month-to-month,Contract_One year,Contract_Two Year,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Churn
1,1,0,0,1,0,0,0,1,1,75,70.10448,149.0064,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3,1,1,1,1,1,0,1,1,0,53,9.300517617,257.2810814,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
3,0,1,1,1,1,0,1,0,0,43,11.72200614,174.5114673,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,1,0,0,1,0,1,1,0,1,75,60.20473,151.1027,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,0,1,0,26,36.19603,212.7117,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,1,1,1,0,0,1,0,1,57,52.66447,195.5137,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,1,54,58.95425,92.6106,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,0,0,1,1,59,48.00544,163.5447,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,1,1,0,0,1,1,0,0,1,81,8.187262,172.3964,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1,0,0,0,1,0,0,39,13.29583782,141.7634147,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,1,54,55.3519,179.6215,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
3,1,1,0,0,0,1,0,0,0,58,12.07358377,136.5814796,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,34,25.72493438,152.9343392,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,0,26,48.31617,160.2888,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
