Age,Income,Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Yearly_equip_failure,Techie,Contacts,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Reliability,Options,Respectfulness,Courteous,Listening,Responses,Solutions,Replacements,Churn,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_No service,"Education_9th Grade to 12th Grade, No Diploma",Education_Associate's Degree,Education_Bachelor's Degree,Education_Doctorate Degree,Education_GED or Alternative Credential,Education_Master's Degree,Education_No Schooling Completed,Education_Nursery School to 8th Grade,Education_Professional School Degree,Education_Regular High School Diploma,"Education_Some College, 1 or More Years, No Degree","Education_Some College, Less than 1 Year",Employment_Full Time,Employment_Part Time,Employment_Retired,Employment_Student,Employment_Unemployed,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Prefer not to answer
68,28561.99,6.795512947,171.4497621,904.5361102,6.972566093,1,0,0,1,0,1,1,0,0,0,1,3,4,4,3,4,5,5,5,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
27,21704.77,1.156680997,242.9480155,800.9827661,12.01454108,1,1,0,1,1,1,0,0,0,1,1,3,4,3,4,4,3,4,3,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
50,33186.785,15.75414408,159.4403984,2054.706961,10.24561565,1,1,0,1,1,0,0,0,0,0,1,4,4,3,3,3,4,4,2,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
48,18925.23,17.08722662,120.2494934,2164.579412,15.20619309,0,1,2,1,0,1,0,0,0,1,0,2,5,4,3,3,4,4,4,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
83,40074.19,1.670971726,150.7612159,271.4934362,8.960316419,1,0,2,0,0,0,0,0,1,1,0,3,4,4,4,5,4,4,4,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
83,33186.785,7.000993555,184.4015581,1039.357983,7.814858954,1,0,3,1,1,1,1,1,0,0,1,2,4,3,3,3,3,3,3,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
53,11467.5,13.23677381,200.0648859,1907.242972,11.12909443,1,1,0,1,0,0,0,0,1,1,1,4,1,5,5,5,6,5,6,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
53,26759.64,36.19603,114.7541111,979.6127078,7.594838367,0,1,0,0,0,0,1,0,0,0,0,5,2,3,4,5,2,2,2,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
49,58634.51,8.220686373,118.3668439,1312.874964,6.637258801,3,0,2,1,0,1,1,0,0,0,0,3,4,3,4,4,5,4,4,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
86,50231.4,3.422086139,163.0052796,508.7637913,9.230409493,0,0,1,1,0,1,0,1,0,0,1,2,5,2,3,3,2,2,2,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
23,33186.785,19.26726194,177.451599,2728.767869,11.83511269,2,0,0,1,1,1,1,0,0,1,0,7,3,3,3,4,4,4,4,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
56,18342.12,36.19603,148.3640874,1180.588788,5.08282075,1,0,1,1,0,0,0,1,0,1,0,4,4,4,3,4,4,4,3,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
83,83671.08,13.01149229,136.4312394,1196.388018,7.265960814,0,0,0,1,0,0,0,0,0,1,0,4,3,2,3,3,1,2,1,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
53,115114.57,16.87922024,185.6592942,1948.694497,6.568343834,0,0,1,1,1,1,0,0,1,1,0,2,4,5,4,4,5,6,5,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
30,64256.81,10.06019902,160.8055418,3382.424,12.63069124,0,0,3,0,1,0,1,0,1,0,0,2,3,4,4,2,3,3,4,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
39,89061.45,13.87001293,176.3345094,1840.014467,9.48221912,0,0,1,1,0,1,0,0,0,1,1,2,4,3,5,2,3,3,3,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
63,31659.3,15.78214958,195.8726039,2070.376729,14.42916512,0,0,1,1,1,0,1,1,0,0,1,3,5,4,4,3,3,4,4,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
60,44142.81,36.19603,203.0695973,882.0985933,10.21790303,0,0,3,1,0,1,0,1,1,1,1,3,3,4,3,3,2,2,4,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
61,39262.14,17.10995632,154.0171018,1833.0967,11.10106846,0,1,1,1,0,0,1,1,1,1,0,4,3,2,3,5,3,4,3,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
23,19494.75,12.80615845,150.1107392,1954.080809,11.08853215,0,0,1,1,1,0,0,0,0,1,0,4,4,4,3,3,5,5,5,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
53,39624.21,20.45390977,185.096264,2330.319383,12.18669792,3,0,0,1,0,1,1,1,0,0,1,2,4,2,3,3,2,3,3,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
