Unnamed: 0,Children,Age,Income,Bandwidth_GB_Year,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Responses,Solutions,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,DummyGender,DummyChurn,DummyTechie,DummyContract,DummyPort_modem,DummyTablet,DummyInternetService,DummyPhone,DummyMultiple,DummyOnlineSecurity,DummyOnlineBackup,DummyDeviceProtection,DummyTechSupport,DummyStreamingMovies,DummyStreamingTV,DummyPaperlessBilling,Outage_sec_perweek
0,1.0,68.0,28561.99,904.5361102,10,0,1,6.795512947,171.4497621,5,5,5,3,4,4,3,4,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,6.972566093
1,1.0,27.0,21704.77,800.9827661,12,0,1,1.156680997,242.9480155,3,4,3,3,4,3,4,4,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,12.01454108
2,4.0,50.0,33186.785,2054.706961,9,0,1,15.75414408,159.4403984,4,4,2,4,4,3,3,3,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,10.24561565
3,1.0,48.0,18925.23,2164.579412,15,2,0,17.08722662,120.2494934,4,4,4,2,5,4,3,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,15.20619309
4,0.0,83.0,40074.19,271.4934362,16,2,1,1.670971726,150.7612159,4,4,4,3,4,4,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8.960316419
5,3.0,83.0,33186.785,1039.357983,15,3,1,7.000993555,184.4015581,3,3,3,2,4,3,3,3,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,7.814858954
6,0.0,53.0,11467.5,1907.242972,10,0,1,13.23677381,200.0648859,6,5,6,4,1,5,5,5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,11.12909443
7,2.0,53.0,26759.64,979.6127078,16,0,0,36.19603,114.7541111,2,2,2,5,2,3,4,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7.594838367
8,2.0,49.0,58634.51,1312.874964,20,2,3,8.220686373,118.3668439,5,4,4,3,4,3,4,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6.637258801
9,1.0,86.0,50231.4,508.7637913,18,1,0,3.422086139,163.0052796,2,2,2,2,5,2,3,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,9.230409493
10,7.0,23.0,33186.785,2728.767869,9,0,2,19.26726194,177.451599,4,4,4,7,3,3,3,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,11.83511269
11,2.0,56.0,18342.12,1180.588788,17,1,1,36.19603,148.3640874,4,4,3,4,4,4,3,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5.08282075
12,0.0,83.0,83671.08,1196.388018,9,0,0,13.01149229,136.4312394,1,2,1,4,3,2,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.265960814
13,5.0,53.0,115114.57,1948.694497,14,1,0,16.87922024,185.6592942,5,6,5,2,4,5,4,4,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,6.568343834
14,1.0,30.0,64256.81,3382.424,10,3,0,10.06019902,160.8055418,3,3,4,2,3,4,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,12.63069124
15,1.0,39.0,89061.45,1840.014467,13,1,0,13.87001293,176.3345094,3,3,3,2,4,3,5,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,9.48221912
16,1.0,63.0,31659.3,2070.376729,13,1,0,15.78214958,195.8726039,3,4,4,3,5,4,4,3,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,14.42916512
17,1.0,60.0,44142.81,882.0985933,16,3,0,36.19603,203.0695973,2,2,4,3,3,4,3,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,10.21790303
18,3.0,61.0,39262.14,1833.0967,11,1,0,17.10995632,154.0171018,3,4,3,4,3,2,3,5,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,11.10106846
19,3.0,23.0,19494.75,1954.080809,10,1,0,12.80615845,150.1107392,5,5,5,4,4,4,3,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,11.08853215
20,4.0,53.0,39624.21,2330.319383,14,0,3,20.45390977,185.096264,2,3,3,2,4,2,3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,12.18669792
21,3.0,30.0,33186.785,594.1054279,18,1,0,2.415991977,127.0317766,5,5,4,4,3,4,3,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6.520830558
22,1.0,52.0,27442.03,713.0633088,16,1,1,6.652298992,125.5623018,3,3,3,2,2,3,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9.970974396
23,2.0,68.0,79699.62,945.3802928,9,0,0,8.543717478,150.3295122,4,4,3,5,3,4,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,7.490198816
24,3.0,75.0,28520.32,870.76398,15,1,0,5.770390256,163.3124055,3,3,4,2,4,4,3,4,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,14.54825704
25,1.0,77.0,12558.83,774.2937069,12,1,0,4.157658837,94.06699355,4,4,4,4,2,4,5,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11.37952059
26,1.0,47.0,8762.23,1506.446527,15,0,1,10.40566091,222.9597637,5,3,5,3,3,5,4,4,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,16.1723942
27,1.0,70.0,43882.72,419.0508708,12,0,0,1.392421597,141.092117,2,2,3,4,4,2,2,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,15.8467065
28,3.0,53.0,33186.785,1259.415493,13,2,0,36.19603,230.6237646,3,4,3,3,2,4,4,2,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,43.92705189
29,4.0,69.0,33186.785,1745.125956,18,1,0,5.425864884,259.3879183,4,4,4,3,2,5,5,4,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,12.35437248
30,9.0,45.0,43383.54,1795.465729,14,0,0,11.08287797,230.9648914,3,2,1,5,3,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,7.472844182
31,1.0,40.0,21793.88,492.4771472,13,2,0,36.19603,147.8152871,2,3,4,3,3,2,4,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,4.776157747
32,6.0,82.0,51960.51,1013.993166,9,0,0,4.727388465,230.2438882,4,4,4,5,2,5,3,5,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,8.913416857
33,5.0,53.0,33186.785,3382.424,8,1,1,20.89923386,175.8247451,5,5,4,3,5,3,4,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,11.99819427
34,1.0,53.0,11211.59,1081.814362,15,1,0,3.471329958,267.4362279,6,5,5,5,2,6,5,5,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,5.312361826
35,1.0,52.0,8283.29,1209.961168,11,0,1,5.478588204,162.6090148,4,2,3,4,3,3,4,3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,13.92937482
36,2.0,26.0,10114.81,897.5919144,16,1,1,3.312991809,258.4081654,4,3,5,5,2,4,5,5,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,44.72520233
37,1.0,25.0,33186.785,1340.930156,9,2,0,7.161561527,138.7077155,5,6,4,2,5,3,3,3,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,8.15350077
38,1.0,66.0,25397.44,1113.993679,12,1,0,9.847563364,185.8072481,4,4,3,4,2,4,4,5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,17.68357553
39,1.0,72.0,50336.5,1530.10769,10,1,1,16.04202196,147.2911879,3,4,3,6,4,4,6,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,7.790281114
40,3.0,53.0,38211.37,3382.424,12,1,0,9.179779682,199.9341262,5,2,3,3,3,5,4,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,38.90533531
41,3.0,53.0,52887.26,892.8964931,16,2,0,36.19603,105.9429467,3,3,2,3,5,4,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6.522328696
42,4.0,41.0,12003.33,1125.581944,11,1,2,3.924254455,253.7918326,3,3,3,5,1,4,3,4,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,11.1979215
43,4.0,53.0,24090.62,2016.710031,13,0,0,18.55959629,192.7622768,3,3,3,3,4,3,3,4,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,8.561096928
44,0.0,53.0,33186.785,1412.736809,6,0,0,8.798394712,243.3707028,4,4,4,4,3,4,3,4,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,13.89466275
45,2.0,44.0,33186.785,3382.424,5,1,0,10.377366,245.4671211,3,3,2,2,4,3,5,2,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,10.87564115
