Unnamed: 0,Children,Age,Education,Employment,Income,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Contract,InternetService,Tenure,MonthlyCharge,Bandwidth_GB_Year,Responses,Solutions,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,Techie_Yes,Port_modem_Yes,Tablet_Yes,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes
0,1.0,68.0,Master's Degree,Part Time,28561.99,Male,No,6.972566093,10,0,1,One year,Fiber Optic,6.795512947,171.4497621,904.5361102,5,5,5,3,4,4,3,4,False,True,True,True,False,True,True,False,False,False,True,True
1,1.0,27.0,Regular High School Diploma,Retired,21704.77,Female,Yes,12.01454108,12,0,1,Month-to-month,Fiber Optic,1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4,True,False,True,True,True,True,False,False,False,True,True,True
2,4.0,50.0,Regular High School Diploma,Student,33186.785,Female,No,10.24561565,9,0,1,Two Year,DSL,15.75414408,159.4403984,2054.706961,4,4,2,4,4,3,3,3,True,True,False,True,True,False,False,False,False,False,True,True
3,1.0,48.0,Doctorate Degree,Retired,18925.23,Male,No,15.20619309,15,2,0,Two Year,DSL,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3,True,False,False,True,False,True,False,False,False,True,False,True
4,0.0,83.0,Master's Degree,Student,40074.19,Male,Yes,8.960316419,16,2,1,Month-to-month,Fiber Optic,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5,False,True,False,False,False,False,False,False,True,True,False,False
5,3.0,83.0,No Schooling Completed,Full Time,33186.785,Female,No,7.814858954,15,3,1,One year,No service,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3,False,True,False,True,True,True,True,True,False,False,True,False
6,0.0,53.0,Associate's Degree,Full Time,11467.5,Male,Yes,11.12909443,10,0,1,Month-to-month,DSL,13.23677381,200.0648859,1907.242972,6,5,6,4,1,5,5,5,True,False,False,True,False,False,False,False,True,True,True,False
7,2.0,53.0,Bachelor's Degree,Full Time,26759.64,Female,Yes,7.594838367,16,0,0,Month-to-month,DSL,36.19603,114.7541111,979.6127078,2,2,2,5,2,3,4,5,True,False,False,False,False,False,True,False,False,False,False,True
9,1.0,86.0,GED or Alternative Credential,Full Time,50231.4,Female,No,9.230409493,18,1,0,Two Year,Fiber Optic,3.422086139,163.0052796,508.7637913,2,2,2,2,5,2,3,3,False,True,False,True,False,True,False,True,False,False,True,True
11,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Female,No,5.08282075,17,1,1,Month-to-month,Fiber Optic,36.19603,148.3640874,1180.588788,4,4,3,4,4,4,3,4,False,True,False,True,False,False,False,True,False,True,False,False
12,0.0,83.0,Master's Degree,Retired,83671.08,Male,No,7.265960814,9,0,0,Month-to-month,Fiber Optic,13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3,False,True,False,True,False,False,False,False,False,True,False,False
14,1.0,30.0,Associate's Degree,Full Time,64256.81,Male,Yes,12.63069124,10,3,0,Month-to-month,DSL,10.06019902,160.8055418,3382.424,3,3,4,2,3,4,4,2,False,False,False,False,True,False,True,False,True,False,False,True
15,1.0,39.0,Bachelor's Degree,Full Time,89061.45,Male,Yes,9.48221912,13,1,0,One year,No service,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2,False,False,False,True,False,True,False,False,False,True,True,True
16,1.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Female,Yes,14.42916512,13,1,0,Month-to-month,DSL,15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3,False,True,False,True,True,False,True,True,False,False,True,True
17,1.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Male,Yes,10.21790303,16,3,0,Two Year,No service,36.19603,203.0695973,882.0985933,2,2,4,3,3,4,3,3,False,False,False,True,False,True,False,True,True,True,True,False
18,3.0,61.0,Regular High School Diploma,Full Time,39262.14,Female,No,11.10106846,11,1,0,Two Year,No service,17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5,True,True,False,True,False,False,True,True,True,True,False,True
19,3.0,23.0,Associate's Degree,Part Time,19494.75,Male,Yes,11.08853215,10,1,0,Month-to-month,DSL,12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3,False,True,False,True,True,False,False,False,False,True,False,True
21,3.0,30.0,Regular High School Diploma,Retired,33186.785,Male,No,6.520830558,18,1,0,Two Year,Fiber Optic,2.415991977,127.0317766,594.1054279,5,5,4,4,3,4,3,5,False,False,True,True,False,True,False,True,False,False,False,False
22,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Male,No,9.970974396,16,1,1,Month-to-month,Fiber Optic,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5,False,False,False,True,False,False,False,False,True,False,False,True
23,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Male,No,7.490198816,9,0,0,One year,Fiber Optic,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3,False,True,False,True,False,False,False,False,True,True,False,True
