Unnamed: 0,Children,Age,Education,Employment,Income,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Contract,InternetService,Tenure,MonthlyCharge,Bandwidth_GB_Year,Responses,Solutions,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,Techie_Yes,Port_modem_Yes,Tablet_Yes,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes
8,2.0,49.0,"Some College, Less than 1 Year",Full Time,58634.51,Prefer not to answer,No,6.637258801,20,2,3,Month-to-month,DSL,8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4,False,True,False,True,False,True,True,False,False,False,False,True
10,7.0,23.0,Regular High School Diploma,Full Time,33186.785,Female,No,11.83511269,9,0,2,Month-to-month,DSL,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4,False,False,False,True,True,True,True,False,False,True,False,False
13,5.0,53.0,No Schooling Completed,Retired,115114.57,Female,No,6.568343834,14,1,0,Two Year,Fiber Optic,16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4,False,True,True,True,True,True,False,False,True,True,False,True
20,4.0,53.0,Nursery School to 8th Grade,Retired,39624.21,Male,No,12.18669792,14,0,3,Month-to-month,Fiber Optic,20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3,False,False,False,True,False,True,True,True,False,False,True,True
28,3.0,53.0,Regular High School Diploma,Full Time,33186.785,Female,Yes,43.92705189,13,2,0,One year,DSL,36.19603,230.6237646,1259.415493,3,4,3,3,2,4,4,2,True,False,False,True,False,False,False,True,False,True,True,False
30,9.0,45.0,No Schooling Completed,Part Time,43383.54,Male,No,7.472844182,14,0,0,Two Year,Fiber Optic,11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2,False,True,False,False,False,False,True,False,False,True,True,True
36,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Female,Yes,44.72520233,16,1,1,Month-to-month,Fiber Optic,3.312991809,258.4081654,897.5919144,4,3,5,5,2,4,5,5,False,True,False,True,True,True,True,True,True,False,True,True
40,3.0,53.0,Regular High School Diploma,Full Time,38211.37,Female,No,38.90533531,12,1,0,Month-to-month,Fiber Optic,9.179779682,199.9341262,3382.424,5,2,3,3,3,5,4,4,False,False,False,True,False,False,True,True,False,True,False,True
46,1.0,23.0,Associate's Degree,Retired,132116.33,Male,Yes,12.60910718,11,1,0,Month-to-month,Fiber Optic,22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3,False,True,False,True,False,True,True,False,True,False,True,True
61,1.0,25.0,Bachelor's Degree,Full Time,81831.49,Male,No,39.88390274,10,3,0,Month-to-month,Fiber Optic,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4,False,True,False,True,True,False,False,True,True,True,False,False
67,1.0,53.0,"9th Grade to 12th Grade, No Diploma",Full Time,33186.785,Male,Yes,10.76672425,19,1,0,Month-to-month,Fiber Optic,10.79028074,207.5721417,1323.028419,4,4,3,6,2,5,7,4,False,False,False,True,False,False,False,False,False,True,True,False
70,4.0,60.0,"Some College, 1 or More Years, No Degree",Full Time,42784.82,Female,Yes,5.824350345,12,0,0,One year,No service,23.92132231,212.350527,2676.789803,5,5,6,5,3,7,5,5,False,True,True,True,False,True,True,False,True,True,True,False
88,1.0,53.0,Regular High School Diploma,Full Time,33186.785,Female,Yes,8.926117575,12,4,0,Month-to-month,DSL,3.76663012,187.6215728,1393.202392,4,4,4,3,3,3,3,5,False,True,False,True,False,False,False,False,False,True,True,True
92,0.0,68.0,"Some College, Less than 1 Year",Student,115510.46,Female,No,5.655483352,3,1,0,Two Year,Fiber Optic,3.273341151,163.0404044,443.984031,2,2,2,4,3,3,4,3,False,True,False,True,False,True,False,False,True,False,True,True
97,10.0,23.0,Professional School Degree,Part Time,64816.84,Male,Yes,6.398436616,14,1,1,Month-to-month,Fiber Optic,36.19603,188.611913,1956.7337,3,2,2,4,3,2,3,2,False,False,False,True,False,True,True,True,True,True,False,False
129,5.0,32.0,Regular High School Diploma,Full Time,9515.64,Male,Yes,7.469785397,11,4,0,Month-to-month,No service,4.568682641,219.2776188,3382.424,2,1,2,4,3,5,3,1,False,False,False,True,True,False,False,True,False,True,True,True
130,0.0,47.0,Regular High School Diploma,Full Time,125814.88,Female,Yes,39.69685071,10,0,1,Month-to-month,DSL,6.085030507,168.9164634,1162.332926,3,3,4,2,4,4,3,2,False,True,False,True,False,False,False,True,False,False,True,True
131,8.0,53.0,Associate's Degree,Retired,12995.68,Female,No,13.23580565,12,1,1,Month-to-month,Fiber Optic,2.730250735,161.8238002,577.1157824,3,3,3,6,3,6,5,4,False,True,False,True,False,False,False,False,True,False,True,True
134,1.0,59.0,Regular High School Diploma,Full Time,76567.85,Male,No,33.93054202,8,1,0,Month-to-month,Fiber Optic,9.482919033,141.1274081,886.9398744,4,5,4,4,4,4,5,4,False,True,False,True,False,False,False,False,False,False,False,True
137,1.0,53.0,"9th Grade to 12th Grade, No Diploma",Unemployed,31600.92,Male,No,3.600274015,12,2,0,One year,DSL,7.251397592,196.0942607,1404.435534,4,6,6,1,7,3,4,3,False,False,False,True,True,False,True,True,True,True,False,True
144,10.0,53.0,Nursery School to 8th Grade,Full Time,35954.77,Male,Yes,13.12456536,14,1,0,Month-to-month,No service,3.237560234,136.8705643,819.4195269,4,4,3,3,2,3,4,2,False,False,False,True,False,False,True,False,False,False,True,True
145,8.0,53.0,Regular High School Diploma,Full Time,36342.31,Male,Yes,15.38702472,15,2,0,Month-to-month,Fiber Optic,2.733109234,217.4503781,882.1160656,5,4,4,4,3,5,5,3,False,False,False,True,True,False,True,True,True,True,False,False
167,8.0,57.0,Master's Degree,Full Time,33186.785,Female,Yes,10.39267899,12,1,1,Month-to-month,Fiber Optic,8.044444101,151.1347447,1112.937102,5,6,4,4,3,5,5,4,False,True,False,True,False,True,False,False,False,False,True,True
170,0.0,53.0,Regular High School Diploma,Retired,32653.51,Male,Yes,5.661160853,7,1,0,Month-to-month,DSL,15.50354683,166.2744191,2144.735024,3,3,3,2,7,3,4,3,False,True,False,True,True,True,False,True,False,True,False,False
171,1.0,31.0,"Some College, 1 or More Years, No Degree",Full Time,35321.46,Male,Yes,11.71135346,11,0,3,Month-to-month,Fiber Optic,36.19603,161.0835097,1522.289512,2,3,3,5,4,3,2,3,False,True,False,True,False,False,False,True,False,False,True,False
176,1.0,58.0,Regular High School Diploma,Full Time,87535.71,Male,No,38.84239397,15,0,1,Two Year,DSL,8.850426839,150.2503098,1456.887443,3,2,3,3,4,2,3,3,False,True,False,True,False,True,False,False,False,True,False,False
186,8.0,78.0,Regular High School Diploma,Full Time,135727.71,Male,No,10.83533213,14,0,0,Month-to-month,DSL,8.08137067,107.2768979,1468.357421,3,3,3,3,5,2,4,3,False,False,False,True,False,True,False,True,False,False,False,True
187,1.0,53.0,Nursery School to 8th Grade,Unemployed,47726.25,Female,Yes,8.076759639,8,5,0,Month-to-month,No service,1.875430489,152.4044424,590.7765801,1,3,2,3,4,3,3,3,False,False,True,True,False,True,True,True,False,False,True,True
191,8.0,56.0,"9th Grade to 12th Grade, No Diploma",Student,34197.3,Female,Yes,14.81062846,14,2,1,Month-to-month,Fiber Optic,11.64983735,219.2027657,1719.173387,5,6,4,4,2,3,5,4,False,True,True,True,False,False,False,True,False,True,True,True
192,1.0,53.0,"Some College, Less than 1 Year",Unemployed,11518.58,Male,Yes,40.45405338,11,3,0,Two Year,DSL,2.964559883,179.4974765,3382.424,2,2,1,5,3,4,4,3,True,False,False,True,False,True,True,False,False,False,True,True
204,0.0,20.0,"Some College, 1 or More Years, No Degree",Retired,33343.73,Male,No,40.90444776,14,1,0,Two Year,No service,3.86023041,159.4921694,822.3008694,3,3,3,5,4,3,3,4,False,False,True,True,False,True,True,False,False,True,False,True
205,0.0,25.0,"9th Grade to 12th Grade, No Diploma",Retired,30664.56,Female,Yes,9.937781234,13,4,0,One year,Fiber Optic,17.72593456,240.4725051,2059.200998,2,3,3,4,3,4,5,4,False,False,False,True,True,False,False,False,False,True,True,False
214,3.0,53.0,Regular High School Diploma,Full Time,13765.39,Female,Yes,46.51160684,8,2,0,Month-to-month,DSL,15.85002222,262.467632,2401.406545,5,4,5,5,2,4,4,3,False,True,False,False,True,False,False,True,False,True,True,True
217,8.0,53.0,Regular High School Diploma,Unemployed,52143.7,Female,No,8.578383742,14,1,1,Month-to-month,Fiber Optic,16.03360405,217.5311821,2153.778421,3,4,4,4,3,2,3,2,False,True,False,True,False,False,False,True,False,True,True,False
227,1.0,57.0,Regular High School Diploma,Unemployed,17516.0,Female,No,40.37825997,13,0,1,Month-to-month,DSL,9.004964377,156.4142359,3382.424,5,6,4,4,5,5,5,4,False,False,True,False,False,False,True,True,False,False,False,True
243,1.0,53.0,Bachelor's Degree,Unemployed,118022.06,Male,Yes,34.94906329,11,2,0,Month-to-month,DSL,14.20349453,181.3208115,1947.7853,4,3,3,3,3,2,3,2,True,False,True,True,True,True,False,False,False,True,False,False
284,8.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,54779.76,Male,Yes,17.70183925,14,0,0,One year,No service,11.62258922,234.0731224,1998.680227,3,3,3,5,3,4,4,5,False,False,False,True,True,True,True,False,False,True,True,True
288,8.0,62.0,"9th Grade to 12th Grade, No Diploma",Full Time,15292.25,Female,Yes,44.7082921,14,0,1,Two Year,Fiber Optic,1.473304337,272.7876946,954.0290712,5,5,5,4,3,5,3,5,False,False,False,True,False,True,True,False,True,True,True,True
291,2.0,82.0,Nursery School to 8th Grade,Student,68122.23,Female,No,38.17398632,18,0,0,One year,Fiber Optic,18.9537053,198.9185978,1746.405243,2,3,2,3,4,1,2,3,False,False,False,True,True,True,True,False,False,False,False,True
293,0.0,53.0,Regular High School Diploma,Retired,123763.12,Male,Yes,8.099458727,10,1,0,Month-to-month,No service,36.19603,138.3569119,665.4740915,6,5,5,4,2,4,5,3,False,True,False,True,True,False,False,True,True,False,False,True
295,1.0,48.0,Regular High School Diploma,Full Time,33186.785,Prefer not to answer,No,11.33838688,14,1,0,Month-to-month,Fiber Optic,8.134438503,159.4692461,958.6989908,4,4,4,1,7,3,2,3,False,False,False,True,True,True,False,True,False,False,False,True
301,1.0,19.0,Regular High School Diploma,Student,41075.64,Female,No,39.9268558,14,1,1,One year,No service,11.16903388,169.8788902,3382.424,5,5,5,4,3,5,4,3,True,False,False,True,False,False,False,True,False,False,True,False
322,1.0,78.0,Bachelor's Degree,Full Time,119968.61,Female,Yes,8.697049506,7,3,0,Month-to-month,Fiber Optic,14.6728104,184.6885585,1564.936841,4,3,4,4,3,4,3,5,False,True,False,False,True,True,False,True,False,True,False,True
323,4.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Male,No,39.65913978,11,1,0,Month-to-month,DSL,5.953547112,161.0815872,3382.424,4,3,3,3,3,5,4,4,False,False,False,True,False,True,False,True,False,True,False,True
329,9.0,19.0,"Some College, Less than 1 Year",Full Time,40902.49,Female,Yes,8.050888574,8,0,1,Month-to-month,No service,11.10356439,221.913604,1973.661316,4,3,4,2,5,3,4,3,False,True,False,True,True,True,False,True,False,True,True,True
334,9.0,53.0,Master's Degree,Part Time,33186.785,Female,No,10.63456005,11,0,0,One year,DSL,8.701581043,127.6179492,1451.201108,3,2,2,3,4,4,4,5,False,False,True,True,True,True,False,False,False,False,False,True
336,4.0,49.0,"Some College, 1 or More Years, No Degree",Full Time,114398.35,Male,Yes,6.793471805,10,2,0,Month-to-month,DSL,6.485034974,123.0406831,1221.100604,2,2,2,4,4,3,4,5,False,False,False,True,True,False,False,False,False,False,False,True
