Bandwidth_GB_Year,Outage_sec_perweek,Children,Age,Income,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Techie_Yes,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_No service,StreamingMovies_Yes,StreamingTV_Yes
904.5361102,6.972566093,1.0,68.0,28561.99,10,0,1,6.795512947,171.4497621,0,1,0,1,0,1,0
800.9827661,12.01454108,1.0,27.0,21704.77,12,0,1,1.156680997,242.9480155,1,0,0,1,0,1,1
2054.706961,10.24561565,4.0,50.0,33186.785,9,0,1,15.75414408,159.4403984,1,0,1,0,0,1,0
2164.579412,15.20619309,1.0,48.0,18925.23,15,2,0,17.08722662,120.2494934,1,0,1,0,0,0,1
271.4934362,8.960316419,0.0,83.0,40074.19,16,2,1,1.670971726,150.7612159,0,0,0,1,0,0,1
1039.357983,7.814858954,3.0,83.0,33186.785,15,3,1,7.000993555,184.4015581,0,1,0,0,1,1,0
1907.242972,11.12909443,0.0,53.0,11467.5,10,0,1,13.23677381,200.0648859,1,0,0,0,0,1,1
979.6127078,7.594838367,2.0,53.0,26759.64,16,0,0,36.19603,114.7541111,1,0,0,0,0,0,0
1312.874964,6.637258801,2.0,49.0,58634.51,20,2,3,8.220686373,118.3668439,0,0,0,0,0,0,0
508.7637913,9.230409493,1.0,86.0,50231.4,18,1,0,3.422086139,163.0052796,0,0,1,1,0,1,0
2728.767869,11.83511269,7.0,23.0,33186.785,9,0,2,19.26726194,177.451599,0,0,0,0,0,0,1
1180.588788,5.08282075,2.0,56.0,18342.12,17,1,1,36.19603,148.3640874,0,0,0,1,0,0,1
1196.388018,7.265960814,0.0,83.0,83671.08,9,0,0,13.01149229,136.4312394,0,0,0,1,0,0,1
1948.694497,6.568343834,5.0,53.0,115114.57,14,1,0,16.87922024,185.6592942,0,0,1,1,0,0,1
3382.424,12.63069124,1.0,30.0,64256.81,10,3,0,10.06019902,160.8055418,0,0,0,0,0,0,0
1840.014467,9.48221912,1.0,39.0,89061.45,13,1,0,13.87001293,176.3345094,0,1,0,0,1,1,1
2070.376729,14.42916512,1.0,63.0,31659.3,13,1,0,15.78214958,195.8726039,0,0,0,0,0,1,0
882.0985933,10.21790303,1.0,60.0,44142.81,16,3,0,36.19603,203.0695973,0,0,1,0,1,1,1
1833.0967,11.10106846,3.0,61.0,39262.14,11,1,0,17.10995632,154.0171018,1,0,1,0,1,0,1
1954.080809,11.08853215,3.0,23.0,19494.75,10,1,0,12.80615845,150.1107392,0,0,0,0,0,0,1
2330.319383,12.18669792,4.0,53.0,39624.21,14,0,3,20.45390977,185.096264,0,0,0,1,0,1,0
594.1054279,6.520830558,3.0,30.0,33186.785,18,1,0,2.415991977,127.0317766,0,0,1,1,0,0,0
713.0633088,9.970974396,1.0,52.0,27442.03,16,1,1,6.652298992,125.5623018,0,0,0,1,0,0,0
945.3802928,7.490198816,2.0,68.0,79699.62,9,0,0,8.543717478,150.3295122,0,1,0,1,0,0,1
870.76398,14.54825704,3.0,75.0,28520.32,15,1,0,5.770390256,163.3124055,0,0,0,0,1,1,0
774.2937069,11.37952059,1.0,77.0,12558.83,12,1,0,4.157658837,94.06699355,0,0,0,0,0,0,0
1506.446527,16.1723942,1.0,47.0,8762.23,15,0,1,10.40566091,222.9597637,0,0,0,1,0,1,1
419.0508708,15.8467065,1.0,70.0,43882.72,12,0,0,1.392421597,141.092117,0,0,0,0,1,0,1
1259.415493,43.92705189,3.0,53.0,33186.785,13,2,0,36.19603,230.6237646,1,1,0,0,0,1,1
1745.125956,12.35437248,4.0,69.0,33186.785,18,1,0,5.425864884,259.3879183,0,0,1,0,0,1,1
1795.465729,7.472844182,9.0,45.0,43383.54,14,0,0,11.08287797,230.9648914,0,0,1,1,0,1,1
492.4771472,4.776157747,1.0,40.0,21793.88,13,2,0,36.19603,147.8152871,0,0,1,0,1,0,0
1013.993166,8.913416857,6.0,82.0,51960.51,9,0,0,4.727388465,230.2438882,0,0,0,1,0,1,1
3382.424,11.99819427,5.0,53.0,33186.785,8,1,1,20.89923386,175.8247451,0,0,0,0,0,0,1
